name,resnet50_train_accuracy,resnet50_val_accuracy,resnet50_test_accuracy,inceptiontime_train_accuracy,inceptiontime_val_accuracy,inceptiontime_test_accuracy,vit_train_accuracy,vit_val_accuracy,vit_test_accuracy
ACSF1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
Adiac,-1,-1,-1,-1,-1,-1,0.035256410256410256,0.05128205128205128,0.017902813299232736
ArrowHead,-1,-1,-1,-1,-1,-1,0.39285714285714285,0.125,0.3028571428571429
Beef,-1,-1,-1,-1,-1,-1,0.16666666666666666,0.0,0.23333333333333334
BeetleFly,-1,-1,-1,-1,-1,-1,0.5333333333333333,0.5,0.5
BirdChicken,-1,-1,-1,-1,-1,-1,0.5333333333333333,0.5,0.5
BME,-1,-1,-1,-1,-1,-1,0.375,0.16666666666666666,0.3333333333333333
Car,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
CBF,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
Chinatown,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
ChlorineConcentration,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
Coffee,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
Computers,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
Crop,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
DiatomSizeReduction,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
DistalPhalanxOutlineAgeGroup,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
DistalPhalanxOutlineCorrect,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
DistalPhalanxTW,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
Earthquakes,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
ECG200,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
ECG5000,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
ECGFiveDays,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
ElectricDevices,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
EthanolLevel,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0
